L-6-43-SN-20,T-2-7-PO-15,2.37149
PLAZA DE PUENTE ALTO,ESCUELA MILITAR,5.66025
L-6-35-PO-40,T-2-7-PO-6,1.21521
L-6-35-PO-40,,
ESTACION CENTRAL,MANQUEHUE,1.23589
E-10-71-PO-75,T-17-136-PO-30,1.22919
ESTACION CENTRAL,PLAZA DE ARMAS,1.2489
SANTA ROSA,PRINCIPE DE GALES,1.14827
LA CISTERNA L2,,
VESPUCIO NORTE,PLAZA DE ARMAS,1.30043
UNIVERSIDAD DE CHILE,TOBALABA L1,1.18259
E-13-278-OP-40,,
T-23-220-PO-35,,
E-20-290-OP-10,,
LAS REJAS,UNIVERSIDAD DE CHILE,
ALCANTARA,UNIVERSIDAD DE CHILE,5.93057
CAL Y CANTO,,
E-20-289-PO-5,T-15-135-PO-5,1.41421
SIMON BOLIVAR,LOS HEROES L1,1.35941
L-16-4-PO-15,T-16-136-OP-40,1.25212
UNIVERSIDAD DE SANTIAGO,LA CISTERNA L2,1.55545
L-32-18-OP-55,T-20-189-OP-30,1.18358
E-7-53-PO-55,T-17-140-PO-30,1.30728
L-13-65-OP-5,E-13-54-SN-10,2.4428
E-7-53-PO-15,,
T-22-205-SN-65,E-20-190-SN-40,2.82238
EL GOLF,MANQUEHUE,1.16933
E-5-30-OP-20,T-5-29-NS-10,1.32958
E-20-290-OP-10,T-17-136-PO-55,4.30626
E-5-30-PO-7,,
SIMON BOLIVAR,BELLAS ARTES,1.27503
SANTA ROSA,ROJAS MAGALLANES,3.44481
T-18-153-PO-55,T-19-12-SN-5,1.20405
T-20-189-OP-20,E-13-54-NS-80,1.27508
T-18-157-OP-40,T-18-157-OP-43,1.21281
PLAZA MAIPU,LAS REJAS,1.20345
E-20-53-PO-55,T-17-140-PO-29,1.35512
L-19-21-SN-20,L-19-1-PO-5,1.23223
T-5-7-SN-15,,
T-2-3-NS-4,T-20-193-NS-30,1.31944
T-13-54-SN-65,E-14-128-PO-3,1.16491
T-20-205-SN-20,T-20-190-SN-30,1.29955
L-13-25-SN-35,T-17-140-PO-30,1.281
T-14-124-PO-5,T-14-123-NS-20,1.55524
T-14-128-PO-10,T-14-130-NS-25,1.33502
L-17-33-SN-5,L-17-22-SN-5,1.20764
T-20-192-PO-35,L-31-20-NS-55,1.39508
PLAZA MAIPU,PUDAHUEL,2.42948
LAS PARCELAS,,
SANTA ANA L5,LOS DOMINICOS,4.88773
L-4-18-PO-50,T-3-14-SN-15,2.47673
T-34-236-SN-4,E-20-53-OP-35,1.49712
T-17-136-OP-25,,
PATRONATO,ESTACION CENTRAL,1.25724
T-6-327-PO-15,T-6-327-PO-25,1.44604
L-10-54-NS-5,L-9-13-NS-35,3.4716
ESTACION CENTRAL,SANTA LUCIA,3.7467
LAS REJAS,,
T-13-94-PO-15,E-13-278-PO-10,2.24558
T-6-327-PO-20,L-2-8-PO-75,2.89208
L-5-20-PO-5,E-5-30-PO-7,1.30249
T-14-128-PO-10,E-18-157-PO-90,1.33502
TOBALABA L1,MANQUEHUE,1.14543
T-5-34-PO-25,,
E-13-54-SN-5,T-13-101-PO-15,1.3383
L-34-58-SN-75,L-34-22-SN-49,1.14718
T-14-119-NS-5,T-14-119-NS-25,1.26943
E-21-89-OP-35,,
T-25-228-NS-35,T-26-228-NS-5,1.19376
LOS HEROES L1,VESPUCIO NORTE,1.15069
L-7-34-SN-5,,
E-5-30-PO-7,T-5-33-OP-25,1.35436
L-13-110-OP-25,,
L-32-18-OP-5,T-18-157-OP-85,1.2636
L-34-58-SN-75,T-34-270-NS-10,1.14718
E-18-159-NS-5,,
T-10-71-OP-4,,
L-13-61-SN-15,T-20-188-SN-10,1.16607
SANTA ANA L2,NUBLE,2.35748
SAN PABLO L5,VESPUCIO NORTE,2.29678
L-4-18-OP-110,E-4-296-OP-5,5.89155
LOS QUILLAYES,PLAZA EGANA,1.21
SIMON BOLIVAR,LOS HEROES L2,1.27503
GRECIA,HOSPITAL SOTERO DEL RIO,1.26945
L-13-25-SN-35,E-17-140-PO-10,5.124
L-33-17-SN-5,I-33-134-SN-67,1.19769
T-13-12-SN-27,,
T-20-188-NS-5,,
T-6-327-PO-10,T-6-327-PO-25,1.44604
E-13-278-PO-10,,
T-1-3-NS-56,E-20-174-NS-10,3.44409
L-32-18-OP-55,E-18-157-OP-10,1.18358
PUDAHUEL,TOBALABA L1,1.1927
T-4-24-OP-5,L-12-25-NS-25,1.26802
L-23-36-SN-5,I-26-228-SN-25,1.19784
SIMON BOLIVAR,,
T-17-147-SN-3,T-17-140-OP-5,2.3833
PLAZA MAIPU,QUINTA NORMAL,1.20345
T-20-73-OP-15,,
